"","Comuna","code_comuna"
"299","TIL TIL",13303
"300","SAN ROSENDO",8310
"301","PEMUCO",16105
"302","SIERRA GORDA",2103
"303","MALLOA",6109
"304","QUINTERO",5107
"305","SANTA BÁRBARA",8311
"306","MULCHÉN",8305
"307","CABO DE HORNOS",12201
"308","PANQUEHUE",5704
"309","ROMERAL",7306
"310","PUCHUNCAVÍ",5105
"311","PICA",1405
"312","TIMAUKEL",12303
"313","TIRUA",8207
"314","REQUINOA",6116
"315","PUYEHUE",10304
"316","EL QUISCO",5604
"317","PLACILLA",6308
"318","LICANTÉN",7303
"319","LAGO VERDE",11102
"320","COELEMU",16203
"321","TORRES DEL PAINE",12402
"322","CAMIÑA",1402
"323","COCHAMÓ",10103
"324","SAN NICOLÁS",16305
"325","RÍO CLARO",7108
"326","CISNES",11202
"327","PRIMAVERA",12302
"328","PELARCO",7106
"329","RENAICO",9209
"330","PUMANQUE",6309
"331","LA CRUZ",5504
"332","FUTALEUFÚ",10402
"333","CODEGUA",6102
"334","TORTEL",11303
"335","NANCAGUA",6305
"336","HUALAIHUE",10403
"337","PALMILLA",6306
"338","ALHUÉ",13502
"339","LAGUNA BLANCA",12102
"340","HUECHURABA",13107
"341","GUAITECAS",11203
"342","SAN GREGORIO",12104
"343","RÍO VERDE",12103
"344","EL CARMEN",16104
"345","PICHIDEGUA",6113
"346","JUAN FERNÁNDEZ",5104
