id,date,age,comuna_id,level,age_range,online
3326169,03-02-2020,21,5601,Media completa. Técnica incompleta,15-30,False
3326189,29-01-2020,62,4303,Universitaria incompleta. Técnica completa,>=60,False
3326261,03-02-2020,,1,Media completa. Técnica incompleta,0-15,False
3326280,28-01-2020,24,4303,Universitaria incompleta. Técnica completa,15-30,False
3326348,,,1,,0-15,False
3326486,29-01-2020,52,4303,Básica completa,45-60,False
3326493,03-02-2020,20,5601,Media incompleta (incluyendo Media Técnica),15-30,False
3326513,27-01-2020,49,4303,Media incompleta (incluyendo Media Técnica),45-60,False
3326557,,,1,,0-15,False
3328115,03-02-2020,30,5601,Media completa. Técnica incompleta,30-45,False
3328203,03-02-2020,36,5601,Media incompleta (incluyendo Media Técnica),30-45,False
3328272,03-02-2020,18,5601,Media completa. Técnica incompleta,15-30,False
3330583,04-02-2020,65,10301,Media completa. Técnica incompleta,>=60,False
3330617,04-02-2020,25,6104,Técnica completa,15-30,False
3330635,04-02-2020,47,10306,Media completa. Técnica incompleta,45-60,False
3330658,04-02-2020,43,1,Universitaria incompleta. Técnica completa,30-45,False
3330698,04-02-2020,39,1,Técnica completa,30-45,False
3330709,04-02-2020,57,10301,Media completa. Técnica incompleta,45-60,False
3330721,04-02-2020,29,6104,Universitaria incompleta. Técnica completa,15-30,False
3330747,04-02-2020,46,6105,Media completa. Técnica incompleta,45-60,False
3330763,04-02-2020,58,6104,Media incompleta (incluyendo Media Técnica),45-60,False
3330778,04-02-2020,32,6101,Técnica completa,30-45,False
3330821,04-02-2020,27,6116,Técnica completa,15-30,False
3330847,04-02-2020,37,6105,Media completa. Técnica incompleta,30-45,False
3330852,04-02-2020,53,10301,Educación básica incompleta o inferior,45-60,False
3330955,04-02-2020,18,6101,Media completa. Técnica incompleta,15-30,False
3330970,04-02-2020,43,6105,Universitaria incompleta. Técnica completa,30-45,False
3330986,04-02-2020,24,10301,Técnica completa,15-30,False
3330993,04-02-2020,39,6101,Media completa. Técnica incompleta,30-45,False
3331042,04-02-2020,59,10307,Técnica completa,45-60,False
3331099,04-02-2020,41,6105,Universitaria incompleta. Técnica completa,30-45,False
3331117,04-02-2020,28,6105,Técnica completa,15-30,False
3331134,04-02-2020,56,10301,Media completa. Técnica incompleta,45-60,False
3331137,04-02-2020,25,6105,Técnica completa,15-30,False
3331191,04-02-2020,,10301,,0-15,False
3331293,04-02-2020,47,10301,Básica completa,45-60,False
3331445,04-02-2020,63,10301,Media completa. Técnica incompleta,>=60,False
3331490,03-02-2020,18,5601,Media completa. Técnica incompleta,15-30,False
3331524,04-02-2020,42,10301,Media completa. Técnica incompleta,30-45,False
3331531,03-02-2020,17,5601,Media completa. Técnica incompleta,15-30,False
3331561,03-02-2020,26,5603,Media completa. Técnica incompleta,15-30,False
3331736,03-02-2020,27,5601,Media completa. Técnica incompleta,15-30,False
3331860,29-01-2020,49,6201,Media incompleta (incluyendo Media Técnica),45-60,False
3331917,29-01-2020,55,1,Media completa. Técnica incompleta,45-60,False
3332010,29-01-2020,49,6201,Media completa. Técnica incompleta,45-60,False
3332041,04-02-2020,58,10301,Básica completa,45-60,False
3332053,29-01-2020,18,6201,Media completa. Técnica incompleta,15-30,False
3332111,03-02-2020,26,9201,Universitaria incompleta. Técnica completa,15-30,False
3332118,29-01-2020,34,6201,Media completa. Técnica incompleta,30-45,False
3332172,03-02-2020,33,9201,Técnica completa,30-45,False
3332177,04-03-2020,49,10301,Media completa. Técnica incompleta,45-60,False
3332179,29-01-2020,26,6201,Universitaria incompleta. Técnica completa,15-30,False
3332197,03-02-2020,38,9201,Media completa. Técnica incompleta,30-45,False
3332204,04-02-2020,74,10301,Básica completa,>=60,False
3332237,03-02-2020,59,9201,Universitaria completa,45-60,False
3332261,03-02-2020,31,9201,Técnica completa,30-45,False
3332282,29-01-2020,50,6201,Básica completa,45-60,False
3332319,04-02-2020,55,10301,Media completa. Técnica incompleta,45-60,False
3332453,04-02-2020,66,10301,Media completa. Técnica incompleta,>=60,False
3332501,29-01-2020,37,6201,Media completa. Técnica incompleta,30-45,False
3332580,04-02-2020,64,10301,Básica completa,>=60,False
3332617,02-02-2020,65,6116,Técnica completa,>=60,False
3332671,24-01-2020,65,6101,Básica completa,>=60,False
3332756,25-01-2020,51,6101,Media incompleta (incluyendo Media Técnica),45-60,False
3333016,04-02-2020,68,4102,Media incompleta (incluyendo Media Técnica),>=60,False
3333036,04-02-2020,68,4102,Educación básica incompleta o inferior,>=60,False
3333057,04-02-2020,40,4102,Media completa. Técnica incompleta,30-45,False
3333076,04-02-2020,58,4102,Básica completa,45-60,False
3333370,04-02-2020,,4102,Técnica completa,0-15,False
3333383,04-02-2020,59,4102,Media completa. Técnica incompleta,45-60,False
3333615,04-02-2020,32,11201,Técnica completa,30-45,False
3334123,23-01-2020,58,13123,Universitaria incompleta. Técnica completa,45-60,False
3334159,24-01-2020,27,13101,Universitaria incompleta. Técnica completa,15-30,False
3360030,16-12-2019,45,4301,Técnica completa,45-60,False
3360061,17-01-2020,57,4301,Media incompleta (incluyendo Media Técnica),45-60,False
3360081,16-01-2020,39,4301,Técnica completa,30-45,False
3360095,16-01-2020,31,4301,Media completa. Técnica incompleta,30-45,False
3360108,23-01-2020,39,4301,Básica completa,30-45,False
3360460,04-02-2020,38,5601,Media completa. Técnica incompleta,30-45,False
3360516,04-02-2020,48,5601,,45-60,False
3360546,04-02-2020,23,5601,Media completa. Técnica incompleta,15-30,False
3360623,,,1,Media completa. Técnica incompleta,0-15,False
3360756,04-01-2020,62,5601,Básica completa,>=60,False
3360829,24-01-2020,44,1,Universitaria incompleta. Técnica completa,30-45,False
3360843,04-02-2020,39,5601,Media completa. Técnica incompleta,30-45,False
3360862,05-02-2020,44,4102,Media completa. Técnica incompleta,30-45,False
3360906,05-02-2020,42,4102,Técnica completa,30-45,False
3360931,04-02-2020,45,4101,Universitaria incompleta. Técnica completa,45-60,False
3361763,28-01-2020,59,6101,Media incompleta (incluyendo Media Técnica),45-60,False
3361808,28-01-2020,32,6101,Media completa. Técnica incompleta,30-45,False
3361934,28-01-2020,19,6101,Media completa. Técnica incompleta,15-30,False
3361984,28-01-2020,18,6101,Media completa. Técnica incompleta,15-30,False
3362037,28-01-2020,18,6101,Media completa. Técnica incompleta,15-30,False
3362061,28-01-2020,41,6101,Media completa. Técnica incompleta,30-45,False
3362082,28-01-2020,37,6101,Media completa. Técnica incompleta,30-45,False
3362112,28-01-2020,50,6101,Media completa. Técnica incompleta,45-60,False
3362174,28-01-2020,24,6101,,15-30,False
3362201,28-01-2020,26,6101,Universitaria incompleta. Técnica completa,15-30,False
3362229,28-01-2020,25,6101,Media completa. Técnica incompleta,15-30,False
3362267,28-01-2020,70,6101,Básica completa,>=60,False
3362396,04-02-2020,45,6105,Técnica completa,45-60,False
3362457,,23,6104,Técnica completa,15-30,False
3362510,04-02-2020,27,6105,Universitaria incompleta. Técnica completa,15-30,False
3362554,04-02-2020,50,6104,Universitaria incompleta. Técnica completa,45-60,False
3362590,04-02-2020,27,6105,Universitaria incompleta. Técnica completa,15-30,False
3362628,04-02-2020,34,6105,Universitaria incompleta. Técnica completa,30-45,False
3363034,04-02-2020,23,6105,Universitaria incompleta. Técnica completa,15-30,False
3363152,04-02-2020,37,6101,Técnica completa,30-45,False
3363254,04-02-2020,30,6101,Media completa. Técnica incompleta,30-45,False
3363381,04-02-2020,28,6104,Media completa. Técnica incompleta,15-30,False
3363487,04-02-2020,45,6101,Media incompleta (incluyendo Media Técnica),45-60,False
3363578,,58,6105,Media completa. Técnica incompleta,45-60,False
3363659,04-02-2020,44,6105,Universitaria incompleta. Técnica completa,30-45,False
3363806,,,1,,0-15,False
3363893,,,1,,0-15,False
